episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
36,360.0,487,21907,0.2,0.04912288580859495,204.72197653,True,False
37,280.0,396,22303,0.2,0.05258520324761518,209.16919441000002,True,False
38,660.0,568,22871,0.2,0.05587735388782138,214.37145483900002,True,False
39,1520.0,842,23713,0.2,0.05829127711107098,221.843958383,True,False
40,530.0,507,24220,0.2,0.059520186115730934,226.72389548700002,True,False
41,310.0,394,24614,0.2,0.060712599575671614,230.105692798,True,False
42,720.0,770,25384,0.2,0.05595229779746518,236.452563121,True,False
43,430.0,452,25836,0.2,0.0568946644136336,240.255655755,True,False
44,550.0,500,26336,0.2,0.06255791191756725,244.29018047899999,True,False
45,350.0,365,26701,0.2,0.06116393815398544,247.58324552000002,True,False
46,470.0,538,27239,0.2,0.06655450022098289,252.19154499200002,True,False
47,1830.0,1161,28400,0.2,0.05732421474083234,262.590737763,True,False
48,350.0,379,28779,0.2,0.052643761950287415,265.768834289,True,False
49,830.0,932,29711,0.2,0.05484139391464929,273.324544372,True,False
50,1530.0,1143,30854,0.2,0.05261268501554232,283.99081368599997,True,False
51,340.0,467,31321,0.2,0.05496912503328461,289.959864734,True,False
52,460.0,478,31799,0.2,0.05160732561440653,293.960022811,True,False
53,450.0,466,32265,0.2,0.053959091727295495,298.123743942,True,False
54,450.0,415,32680,0.2,0.06008470157841937,302.079579346,True,False
55,660.0,626,33306,0.2,0.05913075129949273,308.022116995,True,False
56,570.0,556,33862,0.2,0.06328228994426753,316.00989111499996,True,False
57,1280.0,603,34465,0.2,0.058277841318176676,321.364521585,True,False
58,1050.0,981,35446,0.2,0.06169457361102104,329.540965691,True,False
59,1440.0,862,36308,0.2,0.0744799350267621,336.64040174499996,True,False
60,270.0,395,36703,0.2,0.07070241062141651,339.83440844,True,False
61,420.0,673,37376,0.2,0.06419136428643436,345.189211682,True,False
62,660.0,628,38004,0.2,0.05749022896893939,351.51351255099996,True,False
63,210.0,504,38508,0.2,0.06094274026829572,357.032374992,True,False
64,1120.0,797,39305,0.2,0.07676255067894656,366.997325629,True,False
65,1470.0,713,40018,0.2,0.06991636145629743,373.851324279,True,False
66,490.0,662,40680,0.2,0.06994493829692344,379.11154776499995,True,False
67,1900.0,1212,41892,0.2,0.06256142539270346,389.49847148099997,True,False
68,430.0,542,42434,0.2,0.06693371885145703,393.759961747,True,False
69,390.0,425,42859,0.2,0.06644578001303773,397.22340839599997,True,False
70,240.0,339,43198,0.2,0.06311302570735706,399.893642839,True,False
71,260.0,339,43537,0.2,0.08329078272423324,402.704075859,True,False
72,380.0,387,43924,0.2,0.06788259372115135,406.004908599,True,False
73,1010.0,1008,44932,0.2,0.06888743619700628,414.029930821,True,False
74,740.0,543,45475,0.2,0.06901991286970399,418.36749572499997,True,False
75,290.0,394,45869,0.2,0.0700234917763884,421.862282146,True,False
76,300.0,325,46194,0.2,0.057878845216085516,425.382890052,True,False
77,680.0,489,46683,0.2,0.07486809374856167,429.252687849,True,False
78,250.0,525,47208,0.2,0.09496363064020195,434.45517986299996,True,False
79,480.0,643,47851,0.2,0.08383207289734855,439.617819463,True,False
80,840.0,724,48575,0.2,0.07991995036252131,445.28092688799995,True,False
81,380.0,486,49061,0.2,0.07156290187210333,449.20475657,True,False
82,210.0,369,49430,0.2,0.09381867536222158,452.17402811799997,True,False
83,130.0,306,49736,0.2,0.09627675711382906,454.680477533,True,False
84,430.0,495,50231,0.2,0.09831711085043787,458.73184674699996,True,False
85,480.0,476,50707,0.2,0.0860902561860926,462.603746956,True,False
86,680.0,489,51196,0.2,0.07803954078051133,466.84154378799997,True,False
87,590.0,608,51804,0.2,0.09281351400147143,471.803654683,True,False
88,840.0,723,52527,0.2,0.08726823839565946,477.665174633,True,False
89,670.0,649,53176,0.2,0.07497342051995312,485.433501269,True,False
90,510.0,457,53633,0.2,0.07807074492111017,489.208070732,True,False
91,450.0,390,54023,0.2,0.08434833099431906,492.50681188600004,True,False
92,220.0,327,54350,0.2,0.08114344970800164,495.35150947499994,True,False
93,870.0,612,54962,0.2,0.08222906235483737,500.43926974600004,True,False
94,740.0,767,55729,0.2,0.07203959007165395,508.772479687,True,False
95,1090.0,914,56643,0.2,0.0705110333949785,517.316175056,True,False
96,470.0,473,57116,0.2,0.0700842591409548,521.256124077,True,False
97,1340.0,765,57881,0.2,0.07724874421310518,527.71984461,True,False
98,730.0,676,58557,0.2,0.08066468802418493,533.284415902,True,False
