episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.24131598600000004,True,False
2,460.0,702,1087,0.2,0.02597915851087733,1.1005017010000024,True,False
3,430.0,506,1593,0.2,0.027946306844920242,4.181128271000002,True,False
4,380.0,514,2107,0.2,0.026282197772388827,7.162473583000001,True,False
5,180.0,443,2550,0.2,0.028158931765361345,9.706786979,True,False
6,200.0,362,2912,0.2,0.026099939520693394,11.940432729999998,True,False
7,710.0,836,3748,0.2,0.027554574048783826,16.937459031000003,True,False
8,550.0,603,4351,0.2,0.02854401373459647,20.734439415000004,True,False
9,840.0,727,5078,0.2,0.029507431348115412,25.68237877,True,False
10,1060.0,684,5762,0.2,0.032043657282963725,30.730867741000004,True,False
11,1130.0,789,6551,0.2,0.03114357781342377,36.644931537,True,False
12,410.0,465,7016,0.2,0.03120109707248421,40.417801187,True,False
13,230.0,456,7472,0.2,0.034304489464327494,43.831170995,True,False
14,1870.0,594,8066,0.2,0.032853835647787294,48.230346175,True,False
15,300.0,448,8514,0.2,0.03210177219547664,52.275236669,True,False
16,390.0,423,8937,0.2,0.03345201690000359,55.488033730999994,True,False
17,480.0,818,9755,0.2,0.03189307143603561,61.530214261000005,True,False
18,850.0,842,10597,0.2,0.033701153606688385,70.97504661100001,True,False
19,360.0,555,11152,0.2,0.03618161558682809,76.05863346800001,True,False
20,1020.0,753,11905,0.2,0.03679141182541609,81.71804938900002,True,False
21,550.0,707,12612,0.2,0.035369049755088186,87.21791520600001,True,False
22,750.0,635,13247,0.2,0.03581707449217292,91.901317637,True,False
23,820.0,627,13874,0.2,0.03679691447140827,96.64339601,True,False
24,1230.0,944,14818,0.2,0.039548818243004505,103.68051392999999,True,False
25,310.0,406,15224,0.2,0.0440460134471091,106.72100728699999,True,False
26,240.0,373,15597,0.2,0.039044577583310106,110.772181311,True,False
27,630.0,698,16295,0.2,0.0428641483631927,116.358182831,True,False
28,990.0,828,17123,0.2,0.041527034424623285,122.60798465099998,True,False
29,400.0,516,17639,0.2,0.03971741486939984,126.547497736,True,False
30,630.0,655,18294,0.2,0.040603288066028274,131.549226396,True,False
31,680.0,702,18996,0.2,0.0430228124790698,136.876541645,True,False
32,630.0,609,19605,0.2,0.0449984340383181,141.719805202,True,False
