episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.2661754639999998,True,False
2,490.0,722,1107,0.1,0.023696868967144163,1.3750869340000023,True,False
3,1400.0,934,2041,0.1,0.02839835724270003,7.038718887000002,True,False
4,470.0,516,2557,0.1,0.034877903513112214,10.195123116000001,True,False
5,370.0,483,3040,0.1,0.03338157801315465,13.246290361,True,False
6,370.0,472,3512,0.1,0.03205127367588013,16.455921714,True,False
7,1310.0,688,4200,0.1,0.03522384982843082,21.051675132,True,False
8,670.0,625,4825,0.1,0.03731660309355133,25.168522701,True,False
9,680.0,521,5346,0.1,0.036456271522463515,28.580928165000003,True,False
10,580.0,600,5946,0.1,0.03812125300678114,32.500866735,True,False
11,340.0,421,6367,0.1,0.03845017465951276,35.418663169,True,False
12,200.0,341,6708,0.1,0.03713974836390725,37.8624707,True,False
13,730.0,762,7470,0.1,0.037691284815388686,42.822825654,True,False
14,810.0,606,8076,0.1,0.03780882777401099,46.899134527,True,False
15,1380.0,744,8820,0.1,0.03912858818081878,51.929032792,True,False
16,520.0,595,9415,0.1,0.03939618280698621,55.91656858500001,True,False
17,990.0,862,10277,0.1,0.03756564165922572,61.56744312000001,True,False
18,1450.0,944,11221,0.1,0.03898121087251515,68.581093283,True,False
19,840.0,553,11774,0.1,0.03704868325882632,72.649321413,True,False
20,640.0,699,12473,0.1,0.0411515102508877,78.86423555500001,True,False
21,860.0,755,13228,0.1,0.04068369676221024,84.363623113,True,False
22,1250.0,813,14041,0.1,0.03813074976939873,90.234639997,True,False
23,580.0,683,14724,0.1,0.04047636650856693,95.401046826,True,False
24,370.0,474,15198,0.1,0.04376170164274083,99.089969713,True,False
25,460.0,428,15626,0.1,0.03793827738290844,102.213192236,True,False
26,670.0,751,16377,0.1,0.04394180850779757,108.92470320800001,True,False
27,480.0,562,16939,0.1,0.04260686756377774,113.08837475000001,True,False
28,1230.0,500,17439,0.1,0.044577206503599885,116.84925387199999,True,False
29,940.0,678,18117,0.1,0.04083529706523918,121.78980528599999,True,False
30,530.0,665,18782,0.1,0.0412143423693277,126.86226635400001,True,False
31,550.0,504,19286,0.1,0.04165402406065296,130.747654079,True,False
32,540.0,709,19995,0.1,0.04462016683787444,136.2942712,True,False
33,390.0,478,20473,0.1,0.04651041058047364,139.996312184,True,False
34,790.0,663,21136,0.1,0.04183794363929206,145.040874497,True,False
35,490.0,450,21586,0.1,0.041269857461364676,148.49439766700002,True,False
36,320.0,413,21999,0.1,0.04315596723531201,151.678900378,True,False
37,700.0,666,22665,0.1,0.04413037204523822,159.151965246,True,False
38,510.0,490,23155,0.1,0.048478446244338495,164.237394407,True,False
39,460.0,456,23611,0.1,0.04654046206882125,168.007481251,True,False
40,300.0,411,24022,0.1,0.044921667283418974,171.633792455,True,False
41,590.0,518,24540,0.1,0.04679279880454907,175.750717504,True,False
42,1050.0,764,25304,0.1,0.047176821447460285,181.743355129,True,False
43,310.0,388,25692,0.1,0.04562227633906547,184.81041390800002,True,False
44,640.0,612,26304,0.1,0.04458740518848393,189.694957399,True,False
